"350 BREVARD RD AND BREVARD RD TO I240 W, ASHEVILLE, NC",NA,NA
"150 TUNNEL RD TO I240 E AND I240 E, ASHEVILLE, NC",NA,NA
"150 PATTON AVE TO I240 W AND I240 W, ASHEVILLE, NC",NA,NA
"150 TUNNEL RD AND TUNNEL RD TO I240 W, ASHEVILLE, NC",NA,NA
"I 240 WEST ON RAMP FROM BROADWAY ST, ASHEVILLE, NC",NA,NA
"150 PATTON AVE TO I240 W AND PATTON AVE, ASHEVILLE, NC",NA,NA
"450 I40 W AND SMOKEY PARK HWY TO I40 W, ASHEVILLE, NC",NA,NA
"150 MONTFORD AVE TO I240 W AND I240 W, ASHEVILLE, NC",NA,NA
"150 SOUTHSIDE AVE AND MCDOWELL ST TO SOUTHSIDE AVE, ASHEVILLE, NC",NA,NA
"240 EAST TO HAYWOOD RD, ASHEVILLE, NC",NA,NA
"350 I26 W AND LONG SHOALS RD TO I26 W, ASHEVILLE, NC",NA,NA
"450 I40 W AND HENDERSONVILLE RD TO I40 W, ASHEVILLE, NC",NA,NA
"250 HAYWOOD ST AND CLINGMAN AVE TO I240 E, ASHEVILLE, NC",NA,NA
"750 BREVARD RD AND BREVARD RD TO I26 W, ASHEVILLE, NC",NA,NA
"150 SMOKEY PARK HWY TO I40 E AND SMOKEY PARK HWY, ASHEVILLE, NC",NA,NA
"I240 EAST EXIT 7 TO TUNNEL RD, ASHEVILLE, NC",NA,NA
"SMOKEY PARK HWY ON EXIT RAMP TO I40, ASHEVILLE, NC",NA,NA
"I240 TO TUNNEL RD EXIT 6, ASHEVILLE, NC",NA,NA
"350 SMOKEY PARK HWY AND SMOKEY PARK HWY TO I40 W, ASHEVILLE, NC",NA,NA
"I240 TO I40 W, ASHEVILLE, NC",NA,NA
"350 I26 W AND AIRPORT RD TO I26 W, ASHEVILLE, NC",NA,NA
"150 TALMADGE ST, ASHEVILLE, NC",NA,NA
"150 NORTH MARKET ST, ASHEVILLE, NC",NA,NA
"150 S LESLIE LN, ASHEVILLE, NC",NA,NA
"150 RIDGELAWN RD AND GARDEN CIR, ASHEVILLE, NC",NA,NA
"150 PINEVIEW ST, ASHEVILLE, NC",NA,NA
"150 S MARKET ST AND COURT PLZ, ASHEVILLE, NC",NA,NA
"150 HANOVER ST AND HAYWOOD RD TO I240 E, ASHEVILLE, NC",NA,NA
"150 HAYWOOD RD TO I240 W AND I240 W, ASHEVILLE, NC",NA,NA
"150 HAYWOOD ST TO I240 E AND FLINT ST, ASHEVILLE, NC",NA,NA
"150 HAYWOOD RD TO I240 E, ASHEVILLE, NC",NA,NA
"150 I240 E AND PATTON AVE TO WESTGATE PKWY, ASHEVILLE, NC",NA,NA
"150 MCDOWELL ST AND MCDOWELL ST TO SOUTHSIDE AVE, ASHEVILLE, NC",NA,NA
"150 I240 E TO CHARLOTTE ST AND CHARLOTTE ST, ASHEVILLE, NC",NA,NA
"150 GUDGER RD AND SAND HILL SCHOOL RD, ASHEVILLE, NC",NA,NA
"150 LAW ST, ASHEVILLE, NC",NA,NA
"150 GREENBRIAR RD, ASHEVILLE, NC",NA,NA
"150 HARRISON ST, ASHEVILLE, NC",NA,NA
"150 MAJESTIC AVE AND LOUISIANA AVE, ASHEVILLE, NC",NA,NA
"150 JENNY ST, ASHEVILLE, NC",NA,NA
"150 I26EB AND I240W, ASHEVILLE, NC",NA,NA
"150 LOUISIANA AVE AND MAJESTIC AVE, ASHEVILLE, NC",NA,NA
"150 I240 E AND TUNNEL RD TO I240 W X6, ASHEVILLE, NC",NA,NA
"150 I240 W TO I26 W AND I240 W, ASHEVILLE, NC",NA,NA
"150 I240 E AND I240 E X7 TO TUNNEL RD, ASHEVILLE, NC",NA,NA
"150 I40 W TO SMOKEY PARK HWY AND SMOKEY PARK HWY, ASHEVILLE, NC",NA,NA
"150 KENMORE ST, ASHEVILLE, NC",NA,NA
"150 I240 E AND EXIT 6, ASHEVILLE, NC",NA,NA
"150 I240 E X7 TO TUNNEL RD AND I240 W TO TUNNEL RD, ASHEVILLE, NC",NA,NA
"150 I240 W AND I240 W TO TUNNEL RD X7, ASHEVILLE, NC",NA,NA
"150 I240 W AND MERRIMON AVE TO I240 W, ASHEVILLE, NC",NA,NA
"150 GREELEY ST, ASHEVILLE, NC",NA,NA
"150 LONG SHOALS RD TO I26 W AND , ASHEVILLE, NC",NA,NA
"150 MAPLE SPRINGS RD, ASHEVILLE, NC",NA,NA
"150 I-240 W, ASHEVILLE, NC",NA,NA
"150 GRANDY ST, ASHEVILLE, NC",NA,NA
"150 JOHNS ST, ASHEVILLE, NC",NA,NA
"150 CLINGMAN AVE AND I240 E TO PATTON AVE, ASHEVILLE, NC",NA,NA
"150 FAIRVIEW RD TO I240 E AND I240 E, ASHEVILLE, NC",NA,NA
"150 CHUNNS COVE RD TO I240 E AND I240 E, ASHEVILLE, NC",NA,NA
"150 DAILEY DR, ASHEVILLE, NC",NA,NA
"150 DOWNING ST, ASHEVILLE, NC",NA,NA
"150 CORNELL ST, ASHEVILLE, NC",NA,NA
"150 DILLINGHAM RD, ASHEVILLE, NC",NA,NA
"150 CHILES AVE, ASHEVILLE, NC",NA,NA
"150 CHESTNUT ST, ASHEVILLE, NC",NA,NA
"150 CHUNNS COVE RD AND I240 E, ASHEVILLE, NC",NA,NA
"150 EMORY RD, ASHEVILLE, NC",NA,NA
"150 EDGAR ST, ASHEVILLE, NC",NA,NA
"150 DOCTORS DR, ASHEVILLE, NC",NA,NA
"150 CEDAR HILL RD, ASHEVILLE, NC",NA,NA
"150 DEER RUN CT, ASHEVILLE, NC",NA,NA
"150 GASH FARM RD, ASHEVILLE, NC",NA,NA
"150 CLAXTON PL, ASHEVILLE, NC",NA,NA
"150 CLIFF ST, ASHEVILLE, NC",NA,NA
"150 FENNER AVE, ASHEVILLE, NC",NA,NA
"150 CUMBERLAND PL, ASHEVILLE, NC",NA,NA
"150 FLORIDA AVE AND BALM GROVE AVE, ASHEVILLE, NC",NA,NA
"150 EASTWOOD RD, ASHEVILLE, NC",NA,NA
"150 DISTRICT DR, ASHEVILLE, NC",NA,NA
"150 COLLEGE ST AND COURT PLZ, ASHEVILLE, NC",NA,NA
"150 DYSART ST, ASHEVILLE, NC",NA,NA
"150 BROADWAY ST AND BROADWAY ST TO I240 W, ASHEVILLE, NC",NA,NA
"150 BREVARD RD TO I240 E AND I240 E, ASHEVILLE, NC",NA,NA
"TUNNEL RD AT I 240 EAST BOUND, ASHEVILLE, NC",NA,NA
