clean_address,lon,lat
"1050 DAVID LEE COFFEE RD, ASHEVILLE, NC",NA,NA
"1050 E HIAWATHA ST, ASHEVILLE, NC",-82.6276774,35.6266753
"1050 HAYWOOD RD AND BELMONT AVE, ASHEVILLE, NC",-82.6069756,35.5822289
"1050 HAYWOOD RD AND COVINGTON ST, ASHEVILLE, NC",-82.6060941,35.5814969
"1050 HAYWOOD RD AND JOHNSTON BLVD, ASHEVILLE, NC",-82.6082124,35.5829119
"1050 HAYWOOD RD AND PATTON AVE, ASHEVILLE, NC",-82.6082124,35.5829119
"1050 HAYWOOD RD, ASHEVILLE, NC",-82.6055754,35.5809804
"1240 AND BROADWAY, ASHEVILLE, NC",-82.5548059,35.5991718
"1-240 E AND MM 5.2, ASHEVILLE, NC",NA,NA
"1250 WINKLES RD, ASHEVILLE, NC",NA,NA
"12901240, ASHEVILLE, NC",NA,NA
"140 W AND EXIT 44, ASHEVILLE, NC",-82.6387594,35.5593274
"140E MM 47, ASHEVILLE, NC",NA,NA
"14150 I 26 AND RAMP, ASHEVILLE, NC",NA,NA
"1450 MERRIMON AVE AND STRATFORD RD, ASHEVILLE, NC",-82.571352,35.6370576
"1450 MERRIMON AVE AND WOODBINE RD, ASHEVILLE, NC",-82.5739282,35.6370426
"1450 MERRIMON AVE, ASHEVILLE, NC",-82.5742487,35.6370433
"1450 PATTON AVE AND DARTMOUTH ST, ASHEVILLE, NC",-82.6105279,35.5796201
"1450 PATTON AVE AND DEAVERVIEW RD, ASHEVILLE, NC",-82.6103645,35.5802088
"1450 PATTON AVE AND GILL ST, ASHEVILLE, NC",-82.6122817,35.5777209
"1450 PATTON AVE AND RUMBOUGH PL, ASHEVILLE, NC",-82.6124198,35.577648
"1450 PATTON AVE, ASHEVILLE, NC",-82.610978,35.5788016
"150 ANN ST, ASHEVILLE, NC",NA,NA
"150 ASHELAND AVE AND HILLIARD AVE, ASHEVILLE, NC",-82.557545,35.5911661
"150 ASHELAND AVE AND MORGAN AVE, ASHEVILLE, NC",-82.5575596,35.5888607
"150 ASHELAND AVE AND PATTON AVE, ASHEVILLE, NC",-82.5584985,35.594124
"150 ASHELAND AVE, ASHEVILLE, NC",-82.5586487,35.5888099
"150 ASHELAND, ASHEVILLE, NC",-82.5586487,35.5888099
"150 ASTON ST AND BILTMORE AVE, ASHEVILLE, NC",-82.5533804,35.5931912
"150 ASTON ST AND BUNCOMBE ST, ASHEVILLE, NC",-82.5562253,35.5929198
"150 ASTON ST AND CHURCH ST, ASHEVILLE, NC",-82.5552607,35.5928663
"150 ASTON ST AND COXE AVE, ASHEVILLE, NC",-82.5572457,35.592724
"150 ASTON ST AND S LEXINGTON AVE, ASHEVILLE, NC",-82.5542418,35.5930296
"150 ASTON ST, ASHEVILLE, NC",-82.5552607,35.5928663
"150 ATKINS CIR, ASHEVILLE, NC",-80.8456849,35.0679389
"150 ATKINSON ST AND RIVERSIDE DR TO I26 E, ASHEVILLE, NC",NA,NA
"150 AVALON DR, ASHEVILLE, NC",-82.5231013,35.460657
"150 AZALEA DR, ASHEVILLE, NC",-82.5187303,35.4806348
"150 AZALEA RD E AND GASH FARM RD, ASHEVILLE, NC",-82.4769671,35.5783142
"150 AZALEA RD E AND TUNNEL RD, ASHEVILLE, NC",-82.4745694,35.5848473
"150 AZALEA RD E, ASHEVILLE, NC",-82.4841291,35.5759198
"150 AZALEA RD, ASHEVILLE, NC",-82.494407,35.5710815
"150 BARLETT ST, ASHEVILLE, NC",-82.4729574,35.6053798
"150 BARTLETT ST AND BLANTON ST, ASHEVILLE, NC",-82.5597702,35.5827833
"150 BARTLETT ST AND DEPOT ST, ASHEVILLE, NC",-82.5666024,35.5811878
"150 BARTLETT ST AND JOHN ST, ASHEVILLE, NC",-82.5643641,35.5817462
"150 BARTLETT ST AND ORA ST, ASHEVILLE, NC",-82.5631866,35.5826493
"150 BARTLETT ST AND RALPH ST, ASHEVILLE, NC",-82.5661467,35.5812227
"150 BARTLETT ST AND S FRENCH BROAD AVE, ASHEVILLE, NC",-82.5618428,35.5828151
"150 BARTLETT ST NEAR APARTMENT 326, ASHEVILLE, NC",-82.5618428,35.5828151
"150 BARTLETT ST PVA, ASHEVILLE, NC",NA,NA
"150 BARTLETT ST, ASHEVILLE, NC",-82.5616486,35.5826463
"150 BATTERY PARK ALY AND PAGE AVE, ASHEVILLE, NC",-82.5581887,35.5950096
"150 BATTERY PARK ALY, ASHEVILLE, NC",-82.5579754,35.5950573
"150 BATTERY PARK AVE AND HAYWOOD ST, ASHEVILLE, NC",-82.5566859,35.5953666
"150 BATTERY PARK AVE AND OTIS ST, ASHEVILLE, NC",-82.5594429,35.5947435
"150 BATTERY PARK AVE AND PAGE AVE, ASHEVILLE, NC",-82.5581887,35.5950096
"150 BATTERY PARK AVE AND WALL ST, ASHEVILLE, NC",-82.5571149,35.5952499
"150 BATTERY PARK AVE, ASHEVILLE, NC",-82.5579754,35.5950573
"150 BEAR CREEK DR AND N BEAR CREEK RD, ASHEVILLE, NC",-82.6165343,35.5787354
"150 BEAR CREEK DR, ASHEVILLE, NC",-82.6205046,35.5724742
"150 BEAR CREEK RD AND BEAR CREEK LN, ASHEVILLE, NC",-82.6133493,35.5705138
"150 BEAR CREEK RD AND MIMOSA DR, ASHEVILLE, NC",-82.6147794,35.5749024
"150 BEAR CREEK RD AND PATTON AVE, ASHEVILLE, NC",-82.6136242,35.5768896
"150 BEAR CREEK RD, ASHEVILLE, NC",-82.6133493,35.5705138
"150 BILTMORE AVE AND ASTON ST, ASHEVILLE, NC",-82.5533804,35.5931912
"150 BILTMORE AVE AND HILLIARD AVE, ASHEVILLE, NC",-82.5531002,35.5911224
"150 BILTMORE AVE AND S CHARLOTTE ST, ASHEVILLE, NC",-82.5539195,35.588399
"150 BILTMORE AVE AND S MARKET ST, ASHEVILLE, NC",-82.5531002,35.5911224
"150 BILTMORE AVE AND SOUTHSIDE AVE, ASHEVILLE, NC",-82.5539195,35.588399
"150 BILTMORE AVE AND SYCAMORE ST, ASHEVILLE, NC",-82.5532825,35.5928379
"150 BILTMORE AVE, ASHEVILLE, NC",-82.5531909,35.5814782
"150 BILTMORE PLZ AND LODGE ST, ASHEVILLE, NC",-82.5443323,35.5673597
"150 BINGHAM RD AND ADAMS HILL RD, ASHEVILLE, NC",-82.5887916,35.6040483
"150 BINGHAM RD AND EMMA RD, ASHEVILLE, NC",,
"150 BINGHAM RD AND PEARSON BRIDGE RD, ASHEVILLE, NC",,
"150 BINGHAM RD, ASHEVILLE, NC",,
"150 BINGHAM, ASHEVILLE, NC",,
"150 BIRD SONG LN, ASHEVILLE, NC",,
"150 BLACK FOREST LN, ASHEVILLE, NC",,
"150 BRANDI KING AVE, ASHEVILLE, NC",,
"150 BREVARD RD AND HAYWOOD RD, ASHEVILLE, NC",,
"150 BREVARD RD TO I240 E AND I240 E, ASHEVILLE, NC",,
"150 BROADWAY AVE, ASHEVILLE, NC",,
"150 BROADWAY ST AND BORDEAU PL, ASHEVILLE, NC",,
"150 BROADWAY ST AND BROADWAY ST TO I240 E, ASHEVILLE, NC",,
"150 BROADWAY ST AND BROADWAY ST TO I240 W, ASHEVILLE, NC",,
"150 BROADWAY ST AND CHERRY ST N, ASHEVILLE, NC",,
"150 BROADWAY ST AND COLLEGE ST, ASHEVILLE, NC",,
"150 BROADWAY ST AND I240 E TO MERRIMON AVE, ASHEVILLE, NC",,
"150 BROADWAY ST AND I240 W, ASHEVILLE, NC",,
"150 BROADWAY ST AND I-240, ASHEVILLE, NC",,
"150 BROADWAY ST AND MERRIMON AVE, ASHEVILLE, NC",,
"150 BROADWAY ST AND N LEXINGTON AVE, ASHEVILLE, NC",,
"150 BROADWAY ST AND WOODFIN ST, ASHEVILLE, NC",,
"150 BROADWAY ST TO I240 E AND BROADWAY ST TO I240E, ASHEVILLE, NC",,
"150 BROADWAY ST TO I26 W HWY, ASHEVILLE, NC",,
"150 BROADWAY ST, ASHEVILLE, NC",,
"150 BROOK ST AND SWANN ST, ASHEVILLE, NC",,
"150 BROOKFIELD DR, ASHEVILLE, NC",,
"150 BROOKLET ST AND BILTMORE AVE, ASHEVILLE, NC",,
"150 BRYSON ST AND BILTMORE AVE, ASHEVILLE, NC",,
"150 BURTON ST AND BAKER AVE, ASHEVILLE, NC",,
"150 BURTON ST AND BOYD AVE, ASHEVILLE, NC",,
"150 BURTON ST AND BUFFALO ST, ASHEVILLE, NC",,
"150 BURTON ST AND DOWNING ST, ASHEVILLE, NC",,
"150 BURTON ST, ASHEVILLE, NC",,
"150 BUTLER RD, ASHEVILLE, NC",,
"150 CAIRN LN, ASHEVILLE, NC",,
"150 CAMELOT DR, ASHEVILLE, NC",,
"150 CEDAR HILL RD, ASHEVILLE, NC",,
"150 CEDAR ST AND FAIRVIEW AVE, ASHEVILLE, NC",,
"150 CEDAR ST AND FAIRVIEW RD, ASHEVILLE, NC",,
"150 CEDAR ST AND WOOD AVE, ASHEVILLE, NC",,
"150 CEDAR ST, ASHEVILLE, NC",,
"150 CESSNA WAY, ASHEVILLE, NC",,
"150 CHAPEL CLARK PL, ASHEVILLE, NC",,
"150 CHARLOTTE ST AND BROAD ST, ASHEVILLE, NC",,
"150 CHARLOTTE ST AND CLYDE ST, ASHEVILLE, NC",,
"150 CHARLOTTE ST AND E CHESTNUT ST, ASHEVILLE, NC",,
"150 CHARLOTTE ST AND I240 E TO CHARLOTTE ST, ASHEVILLE, NC",,
"150 CHARLOTTE ST AND WOODFIN PL, ASHEVILLE, NC",,
"150 CHARLOTTE ST, ASHEVILLE, NC",,
"150 CHERRY ST N AND BROADWAY ST, ASHEVILLE, NC",,
"150 CHERRY ST N AND CUMBERLAND AVE, ASHEVILLE, NC",,
"150 CHERRY ST N AND FLINT ST, ASHEVILLE, NC",,
"150 CHERRY ST N AND HARRISON ST, ASHEVILLE, NC",,
"150 CHERRY ST N AND MONTFORD AVE TO I240 W, ASHEVILLE, NC",,
"150 CHERRY ST N AND MONTFORD AVE, ASHEVILLE, NC",,
"150 CHERRY ST N AND SHORT ST, ASHEVILLE, NC",,
"150 CHERRY ST N, ASHEVILLE, NC",,
"150 CHERRY ST, ASHEVILLE, NC",,
"150 CHESTNUT ST, ASHEVILLE, NC",,
"150 CHILES AVE, ASHEVILLE, NC",,
"150 CHUNNS COVE RD AND I240 E, ASHEVILLE, NC",,
"150 CHUNNS COVE RD TO I240 E AND I240 E, ASHEVILLE, NC",,
"150 CLAXTON PL, ASHEVILLE, NC",,
"150 CLEMSON CT, ASHEVILLE, NC",,
"150 CLIFF ST, ASHEVILLE, NC",,
"150 CLINGMAN AVE AND CLINGMAN AVENUE EXT, ASHEVILLE, NC",,
"150 CLINGMAN AVE AND CLINGMAN PL, ASHEVILLE, NC",,
"150 CLINGMAN AVE AND HAYWOOD RD, ASHEVILLE, NC",,
"150 CLINGMAN AVE AND HAYWOOD ST, ASHEVILLE, NC",,
"150 CLINGMAN AVE AND I240 E TO PATTON AVE, ASHEVILLE, NC",,
"150 CLINGMAN AVE AND OWENS BELL LN, ASHEVILLE, NC",,
"150 CLINGMAN AVE AND PATTON AVE, ASHEVILLE, NC",,
"150 CLINGMAN AVE AND RECTOR ST, ASHEVILLE, NC",,
"150 CLINGMAN AVE TO I240 E AND I240 E, ASHEVILLE, NC",,
"150 CLINGMAN AVE, ASHEVILLE, NC",,
"150 CLINGMAN PL, ASHEVILLE, NC",,
"150 COLLEGE ST AND BROADWAY ST, ASHEVILLE, NC",,
"150 COLLEGE ST AND COURT PLZ, ASHEVILLE, NC",,
"150 COLLEGE ST AND HAYWOOD ST, ASHEVILLE, NC",,
"150 COLLEGE ST AND N LEXINGTON AVE, ASHEVILLE, NC",,
"150 COMMERCE ST AND COXE AVE, ASHEVILLE, NC",,
"150 CORDIAL CT, ASHEVILLE, NC",,
"150 CORNELL ST, ASHEVILLE, NC",,
"150 CORTLAND WAY, ASHEVILLE, NC",,
"150 COURT, ASHEVILLE, NC",,
"150 COURTLAND AVE AND COURTLAND PL, ASHEVILLE, NC",,
"150 COURTLAND AVE AND GUDGER ST, ASHEVILLE, NC",,
"150 COURTLAND AVE AND HOUSTON ST, ASHEVILLE, NC",,
"150 COURTLAND AVE AND MONTFORD AVE, ASHEVILLE, NC",,
"150 COURTLAND AVE, ASHEVILLE, NC",,
"150 COXE AVE AND ASTON ST, ASHEVILLE, NC",,
"150 COXE AVE AND BANKS AVE, ASHEVILLE, NC",,
"150 COXE AVE AND BUXTON AVE, ASHEVILLE, NC",,
"150 COXE AVE AND COMMERCE ST, ASHEVILLE, NC",,
"150 COXE AVE AND FEDERAL ALY, ASHEVILLE, NC",,
"150 COXE AVE AND HILLIARD AVE, ASHEVILLE, NC",,
"150 COXE AVE AND PATTON AVE, ASHEVILLE, NC",,
"150 COXE AVE, ASHEVILLE, NC",,
"150 CRAVEN ST AND EMMA RD, ASHEVILLE, NC",,
"150 CRAVEN ST AND HAYWOOD RD, ASHEVILLE, NC",,
"150 CRAVEN ST AND HAZEL MILL RD, ASHEVILLE, NC",,
"150 CRAVEN ST AND LOGAN AVE, ASHEVILLE, NC",,
"150 CRAVEN ST AND W HAYWOOD ST, ASHEVILLE, NC",,
"150 CRAVEN ST, ASHEVILLE, NC",,
"150 CUCKOO LN, ASHEVILLE, NC",,
"150 CUMBERLAND PL, ASHEVILLE, NC",,
"150 DAILEY DR, ASHEVILLE, NC",,
"150 DAILY DR, ASHEVILLE, NC",,
"150 DEER RUN CT, ASHEVILLE, NC",,
"150 DELAMARE PL, ASHEVILLE, NC",,
"150 DILLINGHAM RD, ASHEVILLE, NC",,
"150 DISTRICT DR, ASHEVILLE, NC",,
"150 DOCTORS DR AND BILTMORE AVE, ASHEVILLE, NC",,
"150 DOCTORS DR, ASHEVILLE, NC",,
"150 DOWNING ST, ASHEVILLE, NC",,
"150 DYSART ST, ASHEVILLE, NC",,
"150 E CHESTNUT ST AND CENTRAL AVE, ASHEVILLE, NC",,
"150 E CHESTNUT ST AND MERRIMON AVE, ASHEVILLE, NC",,
"150 E CHESTNUT ST AND WASHINGTON RD, ASHEVILLE, NC",,
"150 E CHESTNUT ST, ASHEVILLE, NC",,
"150 E WALNUT ST AND LANGREN ALY, ASHEVILLE, NC",,
"150 EAGLE LN, ASHEVILLE, NC",,
"150 EAGLE ST AND BILTMORE AVE, ASHEVILLE, NC",,
"150 EAGLE ST AND DAVIDSON DR, ASHEVILLE, NC",,
"150 EAGLE ST AND S CHARLOTTE ST, ASHEVILLE, NC",,
"150 EAGLE ST AND S SPRUCE ST, ASHEVILLE, NC",,
"150 EAGLE ST AND WILSON ALY, ASHEVILLE, NC",,
"150 EAGLE ST, ASHEVILLE, NC",,
"150 EAST CHESTNUT ST, ASHEVILLE, NC",,
"150 EASTLAND, ASHEVILLE, NC",,
"150 EASTWOOD RD, ASHEVILLE, NC",,
"150 EDGAR ST, ASHEVILLE, NC",,
"150 EDGEWOOD DR AND DOWNING DR, ASHEVILLE, NC",,
"150 ELIAS PL, ASHEVILLE, NC",,
"150 EMORY RD, ASHEVILLE, NC",,
"150 FAIRVIEW RD TO I240 E AND I240 E, ASHEVILLE, NC",,
"150 FENNER AVE, ASHEVILLE, NC",,
"150 FLINT ST AND CHERRY ST N, ASHEVILLE, NC",,
"150 FLINT ST AND ELIZABETH ST, ASHEVILLE, NC",,
"150 FLINT ST AND HIAWASSEE ST, ASHEVILLE, NC",,
"150 FLINT ST AND I240 E, ASHEVILLE, NC",,
"150 FLINT ST AND STARNES AVE, ASHEVILLE, NC",,
"150 FLINT ST, ASHEVILLE, NC",,
"150 FLORIDA AVE AND BALM GROVE AVE, ASHEVILLE, NC",,
"150 FRISBEE RD AND NEW LEICESTER HWY, ASHEVILLE, NC",,
"150 GASH FARM RD, ASHEVILLE, NC",,
"150 GRANADA ST AND HANOVER ST, ASHEVILLE, NC",,
"150 GRANADA ST AND SHORT MICHIGAN AVE, ASHEVILLE, NC",,
"150 GRANADA ST AND STEWART ST, ASHEVILLE, NC",,
"150 GRANADA ST, ASHEVILLE, NC",,
"150 GRANDA ST, ASHEVILLE, NC",,
"150 GRANDY ST, ASHEVILLE, NC",,
"150 GRANITE DR, ASHEVILLE, NC",,
"150 GREELEY ST, ASHEVILLE, NC",,
"150 GREENBRIAR RD, ASHEVILLE, NC",,
"150 GUDGER RD AND SAND HILL SCHOOL RD, ASHEVILLE, NC",,
"150 HANOVER ST AND ALABAMA AVE, ASHEVILLE, NC",,
"150 HANOVER ST AND CLEMSON CT, ASHEVILLE, NC",,
"150 HANOVER ST AND HAYWOOD RD TO I240 E, ASHEVILLE, NC",,
"150 HANOVER ST AND HAYWOOD RD, ASHEVILLE, NC",,
"150 HANOVER ST AND INDIANA AVE, ASHEVILLE, NC",,
"150 HANOVER ST AND MONTANA AVE, ASHEVILLE, NC",,
"150 HANOVER ST AND PENNSYLVANIA AVE, ASHEVILLE, NC",,
"150 HANOVER ST AND STATE ST, ASHEVILLE, NC",,
"150 HANOVER ST, ASHEVILLE, NC",,
"150 HARRISON ST, ASHEVILLE, NC",,
"150 HAYWOOD RD AND CLINGMAN AVE, ASHEVILLE, NC",,
"150 HAYWOOD RD AND EUCLID BLVD, ASHEVILLE, NC",,
"150 HAYWOOD RD AND RIVERVIEW DR, ASHEVILLE, NC",,
"150 HAYWOOD RD AND ROBERTS ST, ASHEVILLE, NC",,
"150 HAYWOOD RD TO I240 E, ASHEVILLE, NC",,
"150 HAYWOOD RD TO I240 W AND I240 W, ASHEVILLE, NC",,
"150 HAYWOOD RD, ASHEVILLE, NC",,
"150 HAYWOOD ST AND BATTERY PARK AVE, ASHEVILLE, NC",,
"150 HAYWOOD ST AND FLINT ST, ASHEVILLE, NC",,
"150 HAYWOOD ST AND HAYWOOD ST TO I240 E, ASHEVILLE, NC",,
"150 HAYWOOD ST AND MONTFORD AVE, ASHEVILLE, NC",,
"150 HAYWOOD ST AND N FRENCH BROAD AVE, ASHEVILLE, NC",,
"150 HAYWOOD ST AND PAGE AVE, ASHEVILLE, NC",,
"150 HAYWOOD ST AND VANDERBILT PL, ASHEVILLE, NC",,
"150 HAYWOOD ST TO I240 E AND FLINT ST, ASHEVILLE, NC",,
"150 HAYWOOD ST, ASHEVILLE, NC",,
"150 HAYWOOD STR, ASHEVILLE, NC",,
"150 HAYWOOD STREET, ASHEVILLE, NC",,
"150 HENDERSONVILLE RD AND ALL SOULS CRES, ASHEVILLE, NC",,
"150 HENDERSONVILLE RD AND ANGLE ST, ASHEVILLE, NC",,
"150 HENDERSONVILLE RD AND THOMPSON ST, ASHEVILLE, NC",,
"150 HENDERSONVILLE RD AND VANDERBILT RD, ASHEVILLE, NC",,
"150 HENDERSONVILLE RD N TO I40 E AND I40 E, ASHEVILLE, NC",,
"150 HENDERSONVILLE RD, ASHEVILLE, NC",,
"150 HILLIARD AVE AND CHURCH ST, ASHEVILLE, NC",,
"150 HILLIARD AVE AND COXE AVE, ASHEVILLE, NC",,
"150 HILLIARD AVE AND FEDERAL ALY, ASHEVILLE, NC",,
"150 HILLIARD AVE AND RAVENSCROFT DR, ASHEVILLE, NC",,
"150 HILLIARD AVE AND S MARKET ST, ASHEVILLE, NC",,
"150 HILLIARD AVE, ASHEVILLE, NC",,
"150 HUNT HILL PL AND EDGEHILL AVE, ASHEVILLE, NC",,
"150 HUNT HILL PL, ASHEVILLE, NC",,
"150 I240 E & I240 W TO TUNNEL RD AND I240 E TO TUNNEL RD, ASHEVILLE, NC",,
"150 I240 E & I240 W TO TUNNEL RD AND I240 E X7 TO TUNNEL RD, ASHEVILLE, NC",,
"150 I240 E & I240 W TO TUNNEL RD, ASHEVILLE, NC",,
"150 I240 E AND BROADWAY ST, ASHEVILLE, NC",,
"150 I240 E AND CHARLOTTE ST, ASHEVILLE, NC",,
"150 I240 E AND EXIT 6, ASHEVILLE, NC",,
"150 I-240 E AND EXIT 6, ASHEVILLE, NC",,
"150 I240 E AND I240 E TO BREVARD RD, ASHEVILLE, NC",,
"150 I240 E AND I240 E TO CHARLOTTE ST, ASHEVILLE, NC",,
"150 I240 E AND I240 E TO FAIRVIEW RD, ASHEVILLE, NC",,
"150 I240 E AND I240 E TO I26 W, ASHEVILLE, NC",,
"150 I240 E AND I240 E TO MERRIMON AVE, ASHEVILLE, NC",,
"150 I240 E AND I240 E TO PATTON AVE W, ASHEVILLE, NC",,
"150 I240 E AND I240 E TO PATTON AVE, ASHEVILLE, NC",,
"150 I240 E AND I240 E TO TUNNEL RD, ASHEVILLE, NC",,
"150 I240 E AND I240 E X6 TO TUNNEL RD, ASHEVILLE, NC",,
"150 I240 E AND I240 E X7 TO TUNNEL RD, ASHEVILLE, NC",,
"150 I240 E AND I240 W TUNNEL RD, ASHEVILLE, NC",,
"150 I240 E AND I26 E TO I240 E, ASHEVILLE, NC",,
"150 I240 E AND I26 W, ASHEVILLE, NC",,
"150 I240 E AND I40 E TO I240 E, ASHEVILLE, NC",,
"150 I240 E AND N LEXINGTON AVE, ASHEVILLE, NC",,
"150 I240 E AND PATTON AVE TO WESTGATE PKWY, ASHEVILLE, NC",,
"150 I240 E AND PATTON AVE, ASHEVILLE, NC",,
"150 I240 E AND TUNNEL RD TO I240 E, ASHEVILLE, NC",,
"150 I240 E AND TUNNEL RD TO I240 W X6, ASHEVILLE, NC",,
"150 I240 E AND WESTGATE PKWY TO PATTON AVE, ASHEVILLE, NC",,
"150 I240 E TO CHARLOTTE ST AND CHARLOTTE ST, ASHEVILLE, NC",,
"150 I240 E TO CHARLOTTE ST, ASHEVILLE, NC",,
"150 I240 E TO FAIRVIEW RD AND FAIRVIEW RD, ASHEVILLE, NC",,
"150 I240 E TO MERRIMON AVE, ASHEVILLE, NC",,
"150 I240 E X6 TO TUNNEL RD, ASHEVILLE, NC",,
"150 I240 E X7 TO TUNNEL RD AND I240 W TO TUNNEL RD, ASHEVILLE, NC",,
"150 I240 E, ASHEVILLE, NC",,
"150 I240 W AND AMBOY RD TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND BREVARD RD TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND BROADWAY ST TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND BROADWAY ST, ASHEVILLE, NC",,
"150 I240 W AND FAIRVIEW RD TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND HAYWOOD RD TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND I240 E TO I40 E AND CHARLOTTE HWY TO I40 E, ASHEVILLE, NC",,
"150 I240 W AND I240 W TO MERRIMON AVE, ASHEVILLE, NC",,
"150 I240 W AND I240 W TO TUNNEL RD X7, ASHEVILLE, NC",,
"150 I240 W AND I26 E TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND I26 E, ASHEVILLE, NC",,
"150 I240 W AND I40 W TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND I40 W, ASHEVILLE, NC",,
"150 I240 W AND MERRIMON AVE TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND PATTON AVE TO I240 W, ASHEVILLE, NC",,
"150 I240 W AND PATTON AVE, ASHEVILLE, NC",,
"150 I240 W AND TUNNEL RD & I240 W TO I240 E, ASHEVILLE, NC",,
"150 I240 W AND TUNNEL RD TO I240 W X6, ASHEVILLE, NC",,
"150 I240 W AND TUNNEL RD TO I240 W X7, ASHEVILLE, NC",,
"150 I240 W AND TUNNEL RD TO I240 W, ASHEVILLE, NC",,
"150 I240 W TO I26 W AND I240 W, ASHEVILLE, NC",,
"150 I240 W, ASHEVILLE, NC",,
"150 I-240 W, ASHEVILLE, NC",,
"150 I2403, ASHEVILLE, NC",,
"150 I26 W TO BROADWAY ST AND BROADWAY ST, ASHEVILLE, NC",,
"150 I26 W TO HILL ST AND HILL ST, ASHEVILLE, NC",,
"150 I26EB AND I240W, ASHEVILLE, NC",,
"150 I40 E TO CHARLOTTE HWY, ASHEVILLE, NC",,
"150 I40 E TO I240 W, ASHEVILLE, NC",,
"150 I40 E TO SWEETEN CREEK RD, ASHEVILLE, NC",,
"150 I40 W TO SMOKEY PARK HWY AND SMOKEY PARK HWY, ASHEVILLE, NC",,
"150 I-40 W, ASHEVILLE, NC",,
"150 JASON ST AND , ASHEVILLE, NC",,
"150 JEFFERSON DR AND W HAYWOOD ST, ASHEVILLE, NC",,
"150 JENNY ST, ASHEVILLE, NC",,
"150 JOHNS ST, ASHEVILLE, NC",,
"150 JOHNSTON BLVD AND BAKER DR S, ASHEVILLE, NC",,
"150 JOHNSTON BLVD AND IVANHOE AVE, ASHEVILLE, NC",,
"150 JOHNSTON BLVD AND LARUE ST, ASHEVILLE, NC",,
"150 JOHNSTON BLVD AND N BEAR CREEK RD, ASHEVILLE, NC",,
